s,true,pred5,pred10,pred15,pred20,err5,err10,err15,err20
7.037974684,1.951320442,1.944714084,1.951428899,1.94329769,2.008926787,-0.00660635756,0.0001084568965,-0.008022751329,0.05760634563
7.151898734,1.967377879,1.96160262,1.967447839,1.962344954,2.096100374,-0.00577525914,6.996049658e-05,-0.005032924613,0.128722495
7.265822785,1.983181544,1.97835657,1.983207507,1.981692864,2.166527727,-0.004824973947,2.596323463e-05,-0.001488680168,0.1833461833
7.379746835,1.998739334,1.994969917,1.998718957,2.000972308,2.212751306,-0.003769417383,-2.03768402e-05,0.002232973659,0.2140119718
7.493670886,2.014058782,2.011434003,2.013993221,2.019770926,2.229823474,-0.002624779303,-6.556160962e-05,0.005712143679,0.2157646914
7.607594937,2.029147082,2.027737536,2.029041112,2.037675223,2.216283953,-0.001409545919,-0.0001059699143,0.008528140618,0.1871368707
7.721518987,2.044011105,2.043866585,2.043872998,2.054318544,2.174836246,-0.0001445200854,-0.0001381069845,0.01030743904,0.1308251416
7.835443038,2.05865742,2.05980458,2.058498543,2.069430923,2.112556344,0.001147159918,-0.0001588767543,0.01077350277,0.05389892368
7.949367089,2.073092314,2.075532317,2.072926449,2.08288566,2.040485395,0.002440002943,-0.0001658646622,0.009793345696,-0.03260691888
8.063291139,2.087321803,2.091027952,2.087164188,2.09473656,1.97250551,0.003706148781,-0.0001576154578,0.007414757021,-0.1148162933
8.17721519,2.101351651,2.106267004,2.101217764,2.105239148,1.923479475,0.0049153531,-0.000133887199,0.003887496363,-0.1778721762
8.291139241,2.115187383,2.121222357,2.115091524,2.11484903,1.906753369,0.006034973432,-9.585910703e-05,-0.0003383534578,-0.2084340145
8.405063291,2.128834297,2.135864253,2.12878803,2.124191223,1.931274727,0.007029956108,-4.626716649e-05,-0.004643074034,-0.19755957
8.518987342,2.142297477,2.150160301,2.14230804,2.133995849,1.998758338,0.007862824076,1.056262052e-05,-0.008301628418,-0.1435391388
8.632911392,2.155581805,2.164075471,2.155650623,2.144998529,2.101517849,0.008493665534,6.88176222e-05,-0.01058327603,-0.05406395671
8.746835443,2.168691971,2.177572095,2.168813449,2.157808431,2.221739538,0.008880123296,0.0001214773393,-0.0108835399,0.05304756671
8.860759494,2.181632483,2.190609867,2.181793294,2.172753639,2.333048835,0.008977384857,0.0001608109357,-0.008878843987,0.1514163528
8.974683544,2.194407674,2.203145847,2.194586816,2.189722896,2.405128434,0.008738173088,0.0001791417858,-0.004684778536,0.2107207602
9.088607595,2.207021717,2.215134454,2.207191649,2.208035342,2.411768198,0.008112737518,0.0001699324273,0.001013625278,0.2047464814
9.202531646,2.219478625,2.226527471,2.219607874,2.226386285,2.341894507,0.007048846157,0.0001292485908,0.006907660028,0.1224158823
9.316455696,2.231782266,2.237274044,2.231839933,2.242938115,2.211612612,0.005491777832,5.766656283e-05,0.01115584836,-0.02016965425
9.430379747,2.243936366,2.247320681,2.24389906,2.255651981,2.072795898,0.003384314971,-3.730611064e-05,0.01171561547,-0.1711404682
9.544303797,2.255944516,2.256611252,2.255806295,2.262988784,2.00986743,0.0006667368395,-0.000138220569,0.007044268121,-0.2460770858
9.658227848,2.267810179,2.265086992,2.267596174,2.265148413,2.110628545,-0.002723186836,-0.0002140049954,-0.002661766143,-0.1571816335
9.772151899,2.279536698,2.272686496,2.279321175,2.266065298,2.388627768,-0.006850201861,-0.0002155227172,-0.0134713991,0.10909107
9.886075949,2.291127297,2.279345722,2.291057023,2.276437339,2.622789562,-0.01178157523,-7.027470863e-05,-0.01468995794,0.3316622644
10,2.302585093,2.284997993,2.302908949,2.318135848,2.063786387,-0.01758710044,0.0003238557524,0.01555075468,-0.2387987056
